Name,Added,Loved,Owned,Played,Playing,Finished,Mastered,Dominated,Shelved,Rating,"Copy label","Copy Release","Copy platform","Copy media","Copy media other","Copy source","Copy source other","Copy purchase date","Copy box","Copy box condition","Copy box notes","Copy manual","Copy manual condition","Copy manual notes","Copy complete","Copy complete notes",Platforms,Notes
"'Splosion Man",2013-06-05,0,1,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,"Xbox 360 Games Store",
".hack//INFECTION - Part 1",2011-08-23,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,"PlayStation 2",
"1000 Amps",2012-11-22,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,"Mac, PC",
"1954: Alcatraz",2016-07-13,0,1,0,0,0,0,0,0,,"HB / Steam","1954 Alcatraz",PC,Digital,,"Humble Bundle",,2016-07-12,N/A,N/A,,N/A,N/A,,N/A,,PC,
"20 Minutes Until Dawn",2024-01-08,0,1,0,0,0,0,0,1,,Epic,,PC,Digital,,"Epic Games Store",,2024-01-02,N/A,N/A,,N/A,N/A,,N/A,,PC,
"2064: Read Only Memories",2018-10-20,0,1,0,0,0,0,0,0,,PS4,"2064: Read Only Memories • Citizens of Neo SF","PlayStation 4",Digital,,"Sony Entertainment Network",,2018-10-20,N/A,N/A,,N/A,N/A,,N/A,,"PlayStation 4",
20XX,2020-08-09,0,1,0,0,0,0,0,1,,Epic,20XX,PC,Digital,,Other,Epic,2020-07-31,N/A,N/A,,N/A,N/A,,N/A,,PC,
"3 out of 10",2021-04-09,0,1,0,0,0,0,0,1,,Epic,,PC,Digital,,Other,Epic,2021-04-09,N/A,N/A,,N/A,N/A,,N/A,,PC,
"AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome",2014-01-26,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,"Mac, PC, Linux",
"Aaru's Awakening",2015-04-10,0,1,0,0,0,0,0,1,,PS4,"Aaru's Awakening","PlayStation 4",Digital,,"Sony Entertainment Network",,2015-04-09,N/A,N/A,,N/A,N/A,,N/A,,"PlayStation Network (PS3), PlayStation 4",
,2015-04-10,0,1,0,0,0,0,0,1,,PS3,"Aaru's Awakening","PlayStation Network (PS3)",Digital,,"Sony Entertainment Network",,2015-04-09,N/A,N/A,,N/A,N/A,,N/A,,"PlayStation Network (PS3), PlayStation 4",
"Absolute Drift",2021-02-19,0,1,0,0,0,0,0,1,,Epic,"Absolute Drift",PC,Digital,,Other,Epic,2021-02-19,N/A,N/A,,N/A,N/A,,N/A,,PC,
,2021-02-19,0,1,0,0,0,0,0,1,,GOG,"Absolute Drift: Zen Edition",PC,Digital,,GOG,,2021-06-19,N/A,N/A,,N/A,N/A,,N/A,,PC,
